number_of_vehicles,number_of_casualties,day_of_week,time,local_authority_district,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,road_surface_conditions,urban_or_rural_area,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_home_area_type,casualty_imd_decile,Year,Month,Day,wind_conditions,weather_conditions_Fine,weather_conditions_Fog or mist,weather_conditions_Other,weather_conditions_Raining,weather_conditions_Snowing,casualty_type_Car driver,casualty_type_Car front seat passenger,casualty_type_Car rear seat passenger,casualty_type_Cyclist,casualty_type_Goods vehicle driver,casualty_type_Goods vehicle passenger,casualty_type_Motorcycle passenger,casualty_type_Motorcycle rider,casualty_type_Other vehicle occupant,casualty_type_Pedestrian,casualty_type_Public transport driver,casualty_type_Public transport passenger
2,1,5,10,1,30,0,0,0,0,0,1,7,0,0,6,2019,7,13,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2,1,2,14,0,30,0,0,0,1,0,1,9,1,0,3,2022,10,5,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
1,1,5,20,1,30,0,0,0,0,0,0,6,0,0,0,2019,5,25,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,1,1,8,3,30,0,0,0,0,0,1,6,1,1,0,2022,10,4,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2,1,5,12,3,50,0,0,0,0,0,0,9,0,0,5,2022,3,26,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,3,4,3,0,40,0,0,1,0,1,0,3,0,1,0,2019,7,26,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,3,4,3,0,40,0,0,1,0,1,0,3,0,1,0,2019,7,26,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,3,4,3,0,40,0,0,1,0,1,0,3,0,1,0,2019,7,26,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2,1,7,17,2,30,1,0,0,0,1,0,4,0,0,3,2021,8,15,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,1,5,11,3,30,0,1,0,1,0,0,7,1,1,0,2019,7,27,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2,1,4,17,0,30,0,0,1,0,0,0,6,0,1,0,2021,12,31,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
